score,content,case folding,remove punctuation
5,Mudah2an untuk daerah bekasi cepat rampung. Karena macet terus di tol 😂😂😂😂,mudah2an untuk daerah bekasi cepat rampung. karena macet terus di tol 😂😂😂😂,mudahan untuk daerah bekasi cepat rampung karena macet terus  
5,"aplikasi mudah & simple, trims pak Anies 66","aplikasi mudah & simple, trims pak anies 66",aplikasi mudah simple trims  anies
5,"mudah""an berguna aplikasi mrt nya buat naik mrt. terimakasih sukses selalu PT. MRT.","mudah""an berguna aplikasi mrt nya buat naik mrt. terimakasih sukses selalu pt. mrt.",mudahan berguna aplikasi   buat naik  terimakasih sukses selalu  
5,"Bagus dan mudah beli tiket, bisa nonton film gratis juga di perjalanan","bagus dan mudah beli tiket, bisa nonton film gratis juga di perjalanan",bagus  mudah beli tiket bisa nonton film gratis juga  perjalanan
5,"Aplikasi saat ini tidak ada masalah, apabila ada masalah rating akan berubah","aplikasi saat ini tidak ada masalah, apabila ada masalah rating akan berubah",aplikasi saat  tidak  masalah apabila  masalah rating akan berubah
5,"Dear MRT-J App Team,Tolong tambahkan fitur history pada fitur cek saldo MRT multi trip.Terima kasih.Semangat terus Team!","dear mrt-j app team,tolong tambahkan fitur history pada fitur cek saldo mrt multi trip.terima kasih.semangat terus team!",dear mrtj  teamtolong tambahkan fitur history pada fitur  saldo  multi tripterima kasihsemangat terus team
5,aplikasi membantu sekali memudahkan pembayaran atau transaksi,aplikasi membantu sekali memudahkan pembayaran atau transaksi,aplikasi membantu sekali memudahkan pembayaran atau transaksi
5,mantap.. pasti lolos tiket scan masuk bisa.,mantap.. pasti lolos tiket scan masuk bisa.,mantap pasti lolos tiket scan masuk bisa
5,Transportasi umum modern cepat mudah dan murah,transportasi umum modern cepat mudah dan murah,transportasi umum modern cepat mudah  murah
5,"Menunjang transportasi yg handal, solusi mencegah bertambahnya kemacetan.","menunjang transportasi yg handal, solusi mencegah bertambahnya kemacetan.",menunjang transportasi  handal solusi mencegah bertambahnya kemacetan
5,Aplikasi MRT sangat memudahkan untuk membeli ticket perjalanan Dan informasi status perjalanan juga tersedia,aplikasi mrt sangat memudahkan untuk membeli ticket perjalanan dan informasi status perjalanan juga tersedia,aplikasi  sangat memudahkan untuk membeli ticket perjalanan  informasi status perjalanan juga tersedia
5,"Hmmm baru download, udah keburu beli tiket yg Multitrip nya😅🤣","hmmm baru download, udah keburu beli tiket yg multitrip nya😅🤣",hmmm baru download udah keburu beli tiket  multitrip 
5,"bagus banget aplikasinya, mempermudah pemesanan untuk naik MRT dan KRL di Jakarta","bagus banget aplikasinya, mempermudah pemesanan untuk naik mrt dan krl di jakarta",bagus banget aplikasinya mempermudah pemesanan untuk naik     jakarta
5,Untuk riwayat tiket up date terbaru mohon tanggal dan jam keberangkatan dan kedatangan jangan dihilangkan dong,untuk riwayat tiket up date terbaru mohon tanggal dan jam keberangkatan dan kedatangan jangan dihilangkan dong,untuk riwayat tiket  date terbaru mohon tanggal   keberangkatan  kedatangan jangan dihilangkan dong
5,semoga aplikasi ini bisa mempermudah gerak kegiatan warga Jakart,semoga aplikasi ini bisa mempermudah gerak kegiatan warga jakart,semoga aplikasi  bisa mempermudah gerak kegiatan warga jakart
5,sangat membantu dlm perjalanan yg nyaman dan bersih,sangat membantu dlm perjalanan yg nyaman dan bersih,sangat membantu  perjalanan  nyaman  bersih
5,"bener2 menghemat waktu tenaga, sebelum ada mrt harus berjibaku kejar2 busway dan kereta. makasi MRT 👏🏻👏🏻","bener2 menghemat waktu tenaga, sebelum ada mrt harus berjibaku kejar2 busway dan kereta. makasi mrt 👏🏻👏🏻",bener menghemat waktu tenaga sebelum   harus berjibaku kejar busway  kereta makasi 
5,sangat nyaman pelayanan nya memuasan,sangat nyaman pelayanan nya memuasan,sangat nyaman pelayanan  memuasan
5,"Aplikasi memudahkan banget buat jalan2, gak nyesel donloadnya 😆","aplikasi memudahkan banget buat jalan2, gak nyesel donloadnya 😆",aplikasi memudahkan banget buat jalan  nyesel donloadnya
5,mantap dan sangat terbantu dalam otw ( tujuan ),mantap dan sangat terbantu dalam otw ( tujuan ),mantap  sangat terbantu dalam  tujuan
5,transportasi publik yang nyaman dan cepat,transportasi publik yang nyaman dan cepat,transportasi publik yang nyaman  cepat
5,bagus dan mudah pembayaran nya,bagus dan mudah pembayaran nya,bagus  mudah pembayaran 
5,"pertahankan, kebersihan dan tingkatkan fasilitas di setiap station pemberhentian. Aamiin...","pertahankan, kebersihan dan tingkatkan fasilitas di setiap station pemberhentian. aamiin...",pertahankan kebersihan  tingkatkan fasilitas  setiap station pemberhentian aamiin
5,easy dan praktis,easy dan praktis,easy  praktis
5,keren banget sangat membantu...banyak hadiah give awaynya lagi,keren banget sangat membantu...banyak hadiah give awaynya lagi,keren banget sangat membantubanyak hadiah give awaynya lagi
5,"baru download, belum coba fitur2 nya","baru download, belum coba fitur2 nya",baru download belum coba fitur 
5,"excellent , semoga tetap dipertahankan pelayanannya","excellent , semoga tetap dipertahankan pelayanannya",excellent semoga tetap dipertahankan pelayanannya
5,"keren,ga nyangka kalo di Indonesia bisa keren","keren,ga nyangka kalo di indonesia bisa keren",kerenga nyangka kalo  indonesia bisa keren
5,perjalanan jadi lebih cepat dan nyaman,perjalanan jadi lebih cepat dan nyaman,perjalanan jadi lebih cepat  nyaman
5,bagus layanan y dan ber cepat sampai tujuan,bagus layanan y dan ber cepat sampai tujuan,bagus layanan    cepat sampai tujuan
5,"Mantap, semoga bisa lebih ditingkatkan lagi","mantap, semoga bisa lebih ditingkatkan lagi",mantap semoga bisa lebih ditingkatkan lagi
5,"sangat praktis,bagus,cepat","sangat praktis,bagus,cepat",sangat praktisbaguscepat
5,"Bagus, tapi bagaimana cara memesan tiket lebih dari satu, masih belum faham","bagus, tapi bagaimana cara memesan tiket lebih dari satu, masih belum faham",bagus tapi bagaimana cara memesan tiket lebih dari satu masih belum faham
5,Ngebantu banget buat beli Tiket kalau gak bawa Kartu.,ngebantu banget buat beli tiket kalau gak bawa kartu.,ngebantu banget buat beli tiket kalau  bawa kartu
5,untuk kenyamanan dan ketepatan waktu ok.,untuk kenyamanan dan ketepatan waktu ok.,untuk kenyamanan  ketepatan waktu 
5,bersih dan nyaman kereta nya,bersih dan nyaman kereta nya,bersih  nyaman kereta 
5,"semua nyaa jd serba instan, sukaaa bangett 🥰🥰🥰","semua nyaa jd serba instan, sukaaa bangett 🥰🥰🥰",semua nyaa  serba instan sukaaa bangett
5,Sangat membantu dalam proses transaksi perjalanan.,sangat membantu dalam proses transaksi perjalanan.,sangat membantu dalam proses transaksi perjalanan
5,bagus sekali perjalanan lebih cepat,bagus sekali perjalanan lebih cepat,bagus sekali perjalanan lebih cepat
5,Kode otp ga muncul². Udah di ulang² ttp ga bisa.,kode otp ga muncul². udah di ulang² ttp ga bisa.,kode   muncul udah  ulang   bisa
5,sangat membantu & mempermudah perjalanan kita 👍,sangat membantu & mempermudah perjalanan kita 👍,sangat membantu mempermudah perjalanan kita
5,Tempatnya bersih dan nyaman. Mantul pokoknya,tempatnya bersih dan nyaman. mantul pokoknya,tempatnya bersih  nyaman mantul pokoknya
5,sangat mudah dijangkau dan tepat waktu,sangat mudah dijangkau dan tepat waktu,sangat mudah dijangkau  tepat waktu
5,Mempermudah pembelian tiket dan pembayarab tanpa antri,mempermudah pembelian tiket dan pembayarab tanpa antri,mempermudah pembelian tiket  pembayarab tanpa antri
5,Lebih mudah dan praktis,lebih mudah dan praktis,lebih mudah  praktis
5,Sangat mempermudah untuk menaiki mrt 👏👏,sangat mempermudah untuk menaiki mrt 👏👏,sangat mempermudah untuk menaiki 
5,sangat nyaman untuk menjadi transportasi publik,sangat nyaman untuk menjadi transportasi publik,sangat nyaman untuk menjadi transportasi publik
5,semoga aplikasi ini lancar dan mudah,semoga aplikasi ini lancar dan mudah,semoga aplikasi  lancar  mudah
5,transportasi keren di jakarta. rekomended banget,transportasi keren di jakarta. rekomended banget,transportasi keren  jakarta rekomended banget
5,support IT yang sangat bermanfaat,support it yang sangat bermanfaat,support  yang sangat bermanfaat
5,sudah terasa nyaman menggunakan transportasi umum,sudah terasa nyaman menggunakan transportasi umum,sudah terasa nyaman menggunakan transportasi umum
5,keren lah bisa bawa anak jln2,keren lah bisa bawa anak jln2,keren  bisa bawa anak 
5,Sangat mudah dan sangat membantu,sangat mudah dan sangat membantu,sangat mudah  sangat membantu
5,"waoooooo, dan terus tingkatkan lagi....dan lagi","waoooooo, dan terus tingkatkan lagi....dan lagi",waoooooo  terus tingkatkan lagidan lagi
5,mrt memang bagus. untuk trsnsportasi masal.,mrt memang bagus. untuk trsnsportasi masal., memang bagus untuk trsnsportasi masal
5,Tanpa beli kartu bisa menggunakan app ini,tanpa beli kartu bisa menggunakan app ini,tanpa beli kartu bisa menggunakan  
5,"Mantap sangat membantu gk pakai mahal"" belu kartunya","mantap sangat membantu gk pakai mahal"" belu kartunya",mantap sangat membantu  pakai mahal belu kartunya
5,sangat bermanfaat tanpa card luar biasa😊❤❤❤,sangat bermanfaat tanpa card luar biasa😊❤❤❤,sangat bermanfaat tanpa card luar biasa
5,mantap aplikasi nya mendukung saat naik MRT,mantap aplikasi nya mendukung saat naik mrt,mantap aplikasi  mendukung saat naik 
5,Maju terus MRT terus berinovasi untuk mempermudah pengguna...,maju terus mrt terus berinovasi untuk mempermudah pengguna...,maju terus  terus berinovasi untuk mempermudah pengguna
5,Aplikasi saya gunakan bagus dan sangat membantu terimakasih,aplikasi saya gunakan bagus dan sangat membantu terimakasih,aplikasi saya gunakan bagus  sangat membantu terimakasih
5,sangat membantu untuk meningkatkan aktivitas saya,sangat membantu untuk meningkatkan aktivitas saya,sangat membantu untuk meningkatkan aktivitas saya
5,Memudahkan banget buat yg lupa gk bawa kartu emoney. Tinggal tap doang beres. Membantu sekaliii,memudahkan banget buat yg lupa gk bawa kartu emoney. tinggal tap doang beres. membantu sekaliii,memudahkan banget buat  lupa  bawa kartu emoney tinggal  doang beres membantu sekaliii
