score,content
5,Sy lebih suka yg versi lama ny. Kan tiket lebaran itu cepat habis dalam waktu 1-5menit ya. Klo sekarang dulu pesen tiket lebaran langsung menuju ke pembayaran nya jd langsung cpet gtu tp yg sekarang ada pilihan2 ny dulu itu yg membuat pemesanan tiket kereta terhambat. Tapi okelah ada pembatalan sama ubah jadwal gk jd masalah.
5,"sudah bagus, perlu peningkatan"
5,"Aplikasi bagus dan lengkap, suka"
5,"BENERIN LAH... MALU sama PAK JONAN... NGASIH BINTANG 5, BUKAN KARENA BAGUS APK-NYA..."
5,Cepat dan membantu pemesanan tiket tidak perlu ngantri panjang di loket tmksh
5,"Saya bersandingan dengan router wifi saya di tengah malam hanya saya yang memakai, data seluler pun Sinyal penuh dan 4g+ tapi untuk memesan/mengecek jadwal error2 terus pokoknya susah nya minta ampun sampe saya Restart belum bisa akhirnya begitu saya install ulang bisa walaupun tetep agak2 gimana gitu"
5,"sangat membantu,terima kasih KAI"
5,Memesan tiket kereta api lebih mudah
5,"aplikasinya sangat bagus, tapi tolong saya menemukan bugs dimana saat lupa password otpnya tidak terkirim di email, mohon pencerahannya"
5,"Mengapa terlalu cepat meng-update aplikasi? Saya kira 4 - 6 bulan. Ini gak, cepet bgt. Lagi buka aplikasi, buat pesen/ mau nunjukin boarding. Tau2 muncul update. Kan kita blm tentu dapet sinyal atau lg buru2 krn waktunya mepet."
5,aplikasi yang sangat bagus 🙏🙏
5,Menjelang lebaran harus lebih baik.jgn down pd jam buka
5,"sangat kecewa, mau cetak ulang tiket tidak bisa dengan alasan yang tidak jelas. Itulah hebatnya KAI karena monopoli. Coba ada KAI yg lain mungkin tidak akan dipersulit seperti ini. Dibandingkan dengan tiket pesawat, lebih mudah cetak ulang tiketnya. Biar mau cetak 1 juta lembar juga bisa. Enggak mungkin yg naik pesawat dengan satu kode booking jumlahnya sampek 2. terima kasih, walaupun alot dengan syarat melampirkan ktp asli dan kk akhirnya diberikan tiket pengganti."
5,sangat praktis sekali
5,memudahkan mecari tiket kereta api
5,"Alhamdulillah, ok, , mudah di gunakan"
5,mohon diperbayak kereta arus balik
5,semoga kedepannya jd lebih baik lagi
5,sangat memudahkan petjalfndn
5,Applikasinya sangat membantu
5,Alhamdulillah terbantukan dgn aplikasi ini
5,keren KAI skrng . pertahankan trusss...
5,pokoknya mantab.....pesen tiket disini
5,cepat dan mudah
5,sangat memudahkan kami dalam memesan tiket KA
5,memuaskan kebutuhan mudik lebaran bersama KAI
5,sangat membantu pemesanan tiket
5,aplikasinya sangat membantu
5,sangat nyaman naek kreta
5,bagus dan sangat membantu
5,"Kereen, sudah upadate baik kembali."
5,ok mantap buat kebutuhan saya
5,"terimakasih,berguna buat semua utk kemudahan"
5,Alhamdulillah sudah kembali saldo saya
5,sistemx tlong di bnerin jgn ngelag terus..... malu2in KAI
5,Aplikasi yg sangat membantu perjalanan
5,bagus pelayanan
5,"agak ribet,,soalnya pertamakali"
5,mudah dan aman
5,pake kereta lbh nyaman
5,Cepat dan aman
5,terima kasih sangat membantu
5,sangat puas bangett ok
5,sangat membantu terimakasih
5,baik dan membantu
5,aplikasi yg keren sekali
5,sangat membantu sekali
5,jadi mudah terjangkau
5,mantap proses cepat
5,Sangat mudah dipakai
5,Sangat memudahkan saat akan bepergian. Bisa dengan mudah merencanakan dan re-skejul saat ada keperluan mendadak. Dan makin dipermudah dengan pembayaran via LinkAja. Gak perlu ke ATM/minimarket lagi..
5,Pelayanan KAI semakin baik
5,suka ngadat juga
5,Praktis dan mudah mengakses layanannya
5,Kenapa fitur untuk pembayaran di gerai dan bank ngga ada
5,Naik kereta sekarang lebih nyaman dan aman.
5,apk nya ok banget.....👍👍👍👍
